url,http_status,word_count,outbound_internal_links,mapped_ontology_terms,schema_validation
https://slapglif.github.io/jtnprintable-site/nursery-and-personalized-printable-art/,200,387,9,16,PASS
https://slapglif.github.io/jtnprintable-site/printable-art-formats-and-gallery-sets/,200,465,6,30,PASS
https://slapglif.github.io/jtnprintable-site/printable-art-moods-and-trends/,200,367,11,17,PASS
https://slapglif.github.io/jtnprintable-site/printable-wall-art-by-room/,200,390,11,18,PASS
https://slapglif.github.io/jtnprintable-site/printable-wall-art-colors/,200,373,11,14,PASS
https://slapglif.github.io/jtnprintable-site/printable-wall-art-for-occasions/,200,389,11,20,PASS
https://slapglif.github.io/jtnprintable-site/printable-wall-art-gifts/,200,367,11,13,PASS
https://slapglif.github.io/jtnprintable-site/printable-wall-art-styles/,200,369,12,18,PASS
https://slapglif.github.io/jtnprintable-site/printable-wall-art-subjects/,200,364,12,18,PASS
